
==== 🔑 USUARIOS ====
ID: 1 | Email: juana@example.com | Tipo: admin
ID: 2 | Email: nachoAdmin@nacho.com | Tipo: admin
ID: 3 | Email: admin@condor.com | Tipo: admin
ID: 4 | Email: nuevo@condor.com | Tipo: jugador
ID: 5 | Email: nacho@nacho.com | Tipo: jugador
ID: 6 | Email: giuli@g.com | Tipo: admin
ID: 7 | Email: luci@admin.com | Tipo: jugador

==== 🎾 TURNOS ====
ID: 1 | Fecha: 2025-07-01 14:00:00 | Usuario: None | Estado: disponible
ID: 2 | Fecha: 2025-07-01 15:00:00 | Usuario: None | Estado: disponible
ID: 3 | Fecha: 2025-07-01 16:00:00 | Usuario: None | Estado: disponible
ID: 4 | Fecha: 2025-07-01 17:00:00 | Usuario: None | Estado: disponible
ID: 5 | Fecha: 2025-07-08 14:00:00 | Usuario: None | Estado: disponible
ID: 6 | Fecha: 2025-07-08 15:00:00 | Usuario: None | Estado: disponible
ID: 7 | Fecha: 2025-07-08 16:00:00 | Usuario: None | Estado: disponible
ID: 8 | Fecha: 2025-07-08 17:00:00 | Usuario: None | Estado: disponible
ID: 9 | Fecha: 2025-07-15 14:00:00 | Usuario: None | Estado: disponible
ID: 10 | Fecha: 2025-07-15 15:00:00 | Usuario: None | Estado: disponible
ID: 11 | Fecha: 2025-07-15 16:00:00 | Usuario: None | Estado: disponible
ID: 12 | Fecha: 2025-07-15 17:00:00 | Usuario: None | Estado: disponible
ID: 13 | Fecha: 2025-07-22 14:00:00 | Usuario: None | Estado: disponible
ID: 14 | Fecha: 2025-07-22 15:00:00 | Usuario: None | Estado: disponible
ID: 15 | Fecha: 2025-07-22 16:00:00 | Usuario: None | Estado: disponible
ID: 16 | Fecha: 2025-07-22 17:00:00 | Usuario: None | Estado: disponible
ID: 17 | Fecha: 2025-07-29 14:00:00 | Usuario: None | Estado: disponible
ID: 18 | Fecha: 2025-07-29 15:00:00 | Usuario: None | Estado: disponible
ID: 19 | Fecha: 2025-07-29 16:00:00 | Usuario: None | Estado: disponible
ID: 20 | Fecha: 2025-07-29 17:00:00 | Usuario: None | Estado: disponible
ID: 21 | Fecha: 2025-07-04 10:00:00 | Usuario: None | Estado: disponible
